host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,1.0,0,74,1,1,0,1,1.0,1.0,700.0,1,1125,1,17,47,77,352,4.61,4.73,4.58,4.85,4.88,4.59,4.69,1,2.91,3,1,12,11.72
2,1.0,1.0,0,14,1,1,0,4,1.0,2.0,866.0,1,1125,1,0,0,0,236,4.57,4.72,4.44,4.73,4.76,4.68,4.66,1,1.41,3,0,12,11.54
3,1.0,1.0,0,74,1,1,0,3,1.0,1.0,843.0,1,1125,1,23,34,55,330,4.51,4.57,4.54,4.77,4.83,4.55,4.6,1,3.29,3,1,12,11.35
3,1.0,0.98,0,7,1,1,0,2,1.0,1.0,886.0,1,180,1,23,53,83,84,4.78,4.78,4.78,4.67,5.0,4.33,4.56,0,0.08,2,1,11,8.13
3,1.0,0.9,1,10,1,1,2,2,1.0,1.0,1450.0,1,90,1,16,46,76,351,4.59,4.63,4.76,4.9,4.9,4.61,4.61,0,0.29,3,1,13,11.66
2,0.93,0.97,1,17,1,1,0,2,1.0,1.0,1013.0,28,365,1,7,27,57,332,4.27,4.43,4.67,4.21,4.5,4.0,4.57,0,0.13,0,1,11,9.54
3,1.0,0.71,1,4,1,1,0,2,1.0,1.0,1400.0,27,1125,1,12,26,56,146,4.84,4.94,4.73,5.0,5.0,4.88,4.79,0,0.24,0,1,12,11.27
0,0.0,1.0,1,4,1,1,0,3,1.0,1.0,1559.0,30,1125,1,29,59,89,89,4.73,4.73,4.64,4.8,4.82,4.3,4.7,0,0.12,0,1,11,1.66
3,1.0,0.0,0,1,1,1,0,6,3.0,3.0,3741.0,7,366,1,22,52,82,82,4.77,4.93,4.93,5.0,5.0,4.87,4.87,0,0.11,0,1,12,9.84
3,1.0,1.0,0,74,1,1,0,1,1.0,1.0,700.0,1,1125,1,0,0,0,0,4.53,4.66,4.56,4.77,4.8,4.57,4.66,1,2.67,3,1,12,10.96
3,1.0,1.0,0,52,1,1,0,3,1.0,1.0,1143.0,200,365,1,23,53,83,358,4.56,4.76,4.7,4.94,4.94,4.24,4.55,1,0.25,3,0,11,6.71
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,700.0,365,1125,1,30,60,90,365,4.79,4.92,4.84,4.89,4.86,3.95,4.54,1,0.28,3,0,11,6.38
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,831.0,365,1125,1,30,60,90,270,4.53,4.53,4.76,4.47,4.35,3.76,4.53,1,0.12,0,0,11,11.22
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,750.0,1,1125,1,27,57,87,362,4.61,4.61,4.67,4.73,4.78,4.01,4.51,1,0.92,3,0,11,10.46
